"sample_id","file","fh_null_mean_mse","fh_full_mean_mse","bhf_mean_mse","fh_null_ok","fh_full_ok","bhf_ok","bhf_dropped_predictors","error_msg"
"sample_077","../../data_raw/samples/transformed/sample_077.RDS",0.820316435400735,0.338552108461402,0.375308760878162,TRUE,TRUE,TRUE,"",NA
"sample_078","../../data_raw/samples/transformed/sample_078.RDS",0.817497080171303,0.40397369065852,0.395333782033963,TRUE,TRUE,TRUE,"",NA
"sample_079","../../data_raw/samples/transformed/sample_079.RDS",0.725343031699596,0.250257335819792,0.32886612567459,TRUE,TRUE,TRUE,"",NA
"sample_080","../../data_raw/samples/transformed/sample_080.RDS",0.821569002809151,0.443664750718293,0.36861767618991,TRUE,TRUE,TRUE,"",NA
"sample_081","../../data_raw/samples/transformed/sample_081.RDS",0.827002327045586,0.285212634649645,0.383925546941418,TRUE,TRUE,TRUE,"",NA
"sample_082","../../data_raw/samples/transformed/sample_082.RDS",0.830349509849702,0.365381076545839,0.395012052953526,TRUE,TRUE,TRUE,"",NA
"sample_083","../../data_raw/samples/transformed/sample_083.RDS",0.790718477268462,0.332691594120377,0.334200544798098,TRUE,TRUE,TRUE,"",NA
"sample_084","../../data_raw/samples/transformed/sample_084.RDS",0.792521839110718,0.373467420001557,0.401101320335796,TRUE,TRUE,TRUE,"",NA
"sample_085","../../data_raw/samples/transformed/sample_085.RDS",0.863850346391929,0.4488275297585,0.414299363596012,TRUE,TRUE,TRUE,"",NA
"sample_086","../../data_raw/samples/transformed/sample_086.RDS",0.795019922127583,0.25900631782982,0.404314144798394,TRUE,TRUE,TRUE,"",NA
"sample_087","../../data_raw/samples/transformed/sample_087.RDS",0.835243271792295,0.336461419248045,0.395375008142809,TRUE,TRUE,TRUE,"",NA
"sample_088","../../data_raw/samples/transformed/sample_088.RDS",0.842577635097944,0.441883624084945,0.432687091107165,TRUE,TRUE,TRUE,"",NA
"sample_089","../../data_raw/samples/transformed/sample_089.RDS",0.810098897927248,0.529947821766267,0.385197427442256,TRUE,TRUE,TRUE,"",NA
"sample_090","../../data_raw/samples/transformed/sample_090.RDS",0.801851464374467,0.254938133214682,0.368590129954215,TRUE,TRUE,TRUE,"",NA
"sample_091","../../data_raw/samples/transformed/sample_091.RDS",0.794212046753893,0.318539984645532,0.345885182724547,TRUE,TRUE,TRUE,"ocu_military",NA
"sample_092","../../data_raw/samples/transformed/sample_092.RDS",0.763251322153463,0.135039066907689,0.341029960461276,TRUE,TRUE,TRUE,"",NA
"sample_093","../../data_raw/samples/transformed/sample_093.RDS",0.821316147233691,0.382533548521327,0.41421829084191,TRUE,TRUE,TRUE,"",NA
"sample_094","../../data_raw/samples/transformed/sample_094.RDS",0.837046760894595,0.286032013425733,0.411763262765349,TRUE,TRUE,TRUE,"",NA
"sample_095","../../data_raw/samples/transformed/sample_095.RDS",0.778260215089005,0.130639063498532,0.344223664867173,TRUE,TRUE,TRUE,"",NA
"sample_096","../../data_raw/samples/transformed/sample_096.RDS",0.771380075676252,0.358591770569522,0.390561937731193,TRUE,TRUE,TRUE,"",NA
"sample_097","../../data_raw/samples/transformed/sample_097.RDS",0.733519054994603,0.268263334673589,0.385840657686734,TRUE,TRUE,TRUE,"",NA
"sample_098","../../data_raw/samples/transformed/sample_098.RDS",0.814838286650708,0.349626518677226,0.378939368154118,TRUE,TRUE,TRUE,"",NA
"sample_099","../../data_raw/samples/transformed/sample_099.RDS",0.85985792096294,0.467713223362255,0.429177969910588,TRUE,TRUE,TRUE,"",NA
"sample_100","../../data_raw/samples/transformed/sample_100.RDS",0.845725563787052,0.307622303929763,0.376258881672951,TRUE,TRUE,TRUE,"",NA
"sample_101","../../data_raw/samples/transformed/sample_101.RDS",0.866122425195458,0.426206846085769,0.399558129131929,TRUE,TRUE,TRUE,"",NA
"sample_102","../../data_raw/samples/transformed/sample_102.RDS",0.843186678858434,0.330800975378635,0.417630635665881,TRUE,TRUE,TRUE,"",NA
"sample_103","../../data_raw/samples/transformed/sample_103.RDS",0.865863465603251,0.457901389018162,0.433336440858807,TRUE,TRUE,TRUE,"",NA
"sample_104","../../data_raw/samples/transformed/sample_104.RDS",0.878037133019647,0.384863069784055,0.436129447482478,TRUE,TRUE,TRUE,"",NA
"sample_105","../../data_raw/samples/transformed/sample_105.RDS",0.823747797881431,0.305943662922166,0.399271825920556,TRUE,TRUE,TRUE,"",NA
"sample_106","../../data_raw/samples/transformed/sample_106.RDS",0.869242514275936,0.334100539667495,0.358036232490687,TRUE,TRUE,TRUE,"",NA
"sample_107","../../data_raw/samples/transformed/sample_107.RDS",0.888700209491598,0.407995814056577,0.428778446059144,TRUE,TRUE,TRUE,"",NA
"sample_108","../../data_raw/samples/transformed/sample_108.RDS",0.820744415317162,0.319895303681587,0.381573779678628,TRUE,TRUE,TRUE,"",NA
"sample_109","../../data_raw/samples/transformed/sample_109.RDS",0.8572160568186,0.375405464471702,0.384453376067291,TRUE,TRUE,TRUE,"",NA
"sample_110","../../data_raw/samples/transformed/sample_110.RDS",0.824763079099828,0.554025369745265,0.395475318734953,TRUE,TRUE,TRUE,"",NA
"sample_111","../../data_raw/samples/transformed/sample_111.RDS",0.743720755269687,0.138232293533426,0.354259380470589,TRUE,TRUE,TRUE,"",NA
"sample_112","../../data_raw/samples/transformed/sample_112.RDS",0.827527931755778,0.355009673400024,0.435386956122917,TRUE,TRUE,TRUE,"",NA
"sample_113","../../data_raw/samples/transformed/sample_113.RDS",0.761942615800106,0.401745838072055,0.370494634762527,TRUE,TRUE,TRUE,"",NA
"sample_114","../../data_raw/samples/transformed/sample_114.RDS",0.846688892633583,0.534848486015815,0.409186673002784,TRUE,TRUE,TRUE,"",NA
"sample_115","../../data_raw/samples/transformed/sample_115.RDS",0.829358040234345,0.32516234746254,0.403501082480628,TRUE,TRUE,TRUE,"",NA
"sample_116","../../data_raw/samples/transformed/sample_116.RDS",0.847669702372568,0.269542797489596,0.357744433837338,TRUE,TRUE,TRUE,"",NA
"sample_117","../../data_raw/samples/transformed/sample_117.RDS",0.8262824496129,0.45419423721453,0.391092565392509,TRUE,TRUE,TRUE,"",NA
"sample_118","../../data_raw/samples/transformed/sample_118.RDS",0.83963050247625,0.454385023904231,0.359407366458877,TRUE,TRUE,TRUE,"",NA
"sample_119","../../data_raw/samples/transformed/sample_119.RDS",0.794910889763568,0.361255498313983,0.342276437879666,TRUE,TRUE,TRUE,"",NA
"sample_120","../../data_raw/samples/transformed/sample_120.RDS",0.831203361076581,0.332447314710761,0.403913340214022,TRUE,TRUE,TRUE,"",NA
"sample_121","../../data_raw/samples/transformed/sample_121.RDS",0.836579686848756,0.188354937317544,0.372888938956077,TRUE,TRUE,TRUE,"",NA
"sample_122","../../data_raw/samples/transformed/sample_122.RDS",0.856904357617507,0.435562948764862,0.395371285573945,TRUE,TRUE,TRUE,"",NA
"sample_123","../../data_raw/samples/transformed/sample_123.RDS",0.850659013563248,0.342766444416162,0.351200418059543,TRUE,TRUE,TRUE,"",NA
