"sample_id","file","fh_null_mean_mse","fh_full_mean_mse","bhf_mean_mse","fh_null_ok","fh_full_ok","bhf_ok","error_msg"
"sample_061","../../data_raw/samples/transformed/sample_061.RDS",0.834018166423913,0.267506021726206,0.309869186503144,TRUE,TRUE,TRUE,NA
"sample_062","../../data_raw/samples/transformed/sample_062.RDS",0.822096934351586,0.443969899538503,0.307906185452566,TRUE,TRUE,TRUE,NA
"sample_063","../../data_raw/samples/transformed/sample_063.RDS",0.872771136130889,0.385179039927915,0.303591720398874,TRUE,TRUE,TRUE,NA
"sample_064","../../data_raw/samples/transformed/sample_064.RDS",0.772222879823866,0.181967237866639,0.28062130159481,TRUE,TRUE,TRUE,NA
"sample_065","../../data_raw/samples/transformed/sample_065.RDS",0.828893454956678,0.474288664282567,0.327054525864736,TRUE,TRUE,TRUE,NA
"sample_066","../../data_raw/samples/transformed/sample_066.RDS",0.793899195529975,0.465118803485569,0.352712529291049,TRUE,TRUE,TRUE,NA
"sample_067","../../data_raw/samples/transformed/sample_067.RDS",0.779269292676115,0.483379929547458,0.369099391245124,TRUE,TRUE,TRUE,NA
"sample_068","../../data_raw/samples/transformed/sample_068.RDS",0.848208380606734,0.247308400085434,0.401955997789863,TRUE,TRUE,TRUE,NA
"sample_069","../../data_raw/samples/transformed/sample_069.RDS",0.795792851528488,0.234023419944923,0.348303163585074,TRUE,TRUE,TRUE,NA
"sample_070","../../data_raw/samples/transformed/sample_070.RDS",0.820341323733831,0.379435935735224,0.309019479255823,TRUE,TRUE,TRUE,NA
"sample_071","../../data_raw/samples/transformed/sample_071.RDS",0.843250170972653,0.298839406389454,0.319521559008554,TRUE,TRUE,TRUE,NA
"sample_072","../../data_raw/samples/transformed/sample_072.RDS",0.840287785484475,0.475508555312244,0.369774110005174,TRUE,TRUE,TRUE,NA
"sample_073","../../data_raw/samples/transformed/sample_073.RDS",0.81326307661892,0.539369598150851,0.322589164208339,TRUE,TRUE,TRUE,NA
"sample_074","../../data_raw/samples/transformed/sample_074.RDS",0.874725015343038,0.536450237052449,0.36490390213334,TRUE,TRUE,TRUE,NA
"sample_075","../../data_raw/samples/transformed/sample_075.RDS",0.866762102694978,0.545330915675677,0.406522111700998,TRUE,TRUE,TRUE,NA
"sample_076","../../data_raw/samples/transformed/sample_076.RDS",0.868432578575669,0.476526192537322,0.384933507069736,TRUE,TRUE,TRUE,NA
"sample_077","../../data_raw/samples/transformed/sample_077.RDS",0.821045835148976,0.371898810234913,0.28681202228296,TRUE,TRUE,TRUE,NA
"sample_078","../../data_raw/samples/transformed/sample_078.RDS",0.8181890838745,0.445009820643986,0.31384284739943,TRUE,TRUE,TRUE,NA
"sample_079","../../data_raw/samples/transformed/sample_079.RDS",0.725802327639061,0.319730686435627,0.292921515392773,TRUE,TRUE,TRUE,NA
"sample_080","../../data_raw/samples/transformed/sample_080.RDS",0.822205359541471,0.495728531923113,0.332077600173062,TRUE,TRUE,TRUE,NA
"sample_081","../../data_raw/samples/transformed/sample_081.RDS",0.82774354371825,0.340828424233225,0.30657666334652,TRUE,TRUE,TRUE,NA
"sample_082","../../data_raw/samples/transformed/sample_082.RDS",0.83105044893548,0.436673504433079,0.314699577658616,TRUE,TRUE,TRUE,NA
"sample_083","../../data_raw/samples/transformed/sample_083.RDS",0.79133718758615,0.313105141550305,0.250913643030285,TRUE,TRUE,TRUE,NA
"sample_084","../../data_raw/samples/transformed/sample_084.RDS",0.793097944187809,0.436582033186898,0.331454059496782,TRUE,TRUE,TRUE,NA
"sample_085","../../data_raw/samples/transformed/sample_085.RDS",0.86466286178471,0.490323658511058,0.333268263936278,TRUE,TRUE,TRUE,NA
"sample_086","../../data_raw/samples/transformed/sample_086.RDS",0.795651248775321,0.237089508616209,0.345894766834349,TRUE,TRUE,TRUE,NA
"sample_087","../../data_raw/samples/transformed/sample_087.RDS",0.835899721827605,0.343052193064486,0.348463573007489,TRUE,TRUE,TRUE,NA
"sample_088","../../data_raw/samples/transformed/sample_088.RDS",0.843390895446778,0.435923526431986,0.374414359896744,TRUE,TRUE,TRUE,NA
"sample_089","../../data_raw/samples/transformed/sample_089.RDS",0.810797123418302,0.572310257884331,0.335008313344414,TRUE,TRUE,TRUE,NA
"sample_090","../../data_raw/samples/transformed/sample_090.RDS",0.802548718766706,0.336269523984889,0.327692731634186,TRUE,TRUE,TRUE,NA
"sample_091","../../data_raw/samples/transformed/sample_091.RDS",0.794714141461819,0.35469927876408,NA,TRUE,TRUE,FALSE,"BHF failed: Singularität in backsolve auf Stufe 0, Block 1"
"sample_092","../../data_raw/samples/transformed/sample_092.RDS",0.763794902539138,0.197329880638516,0.278396388359356,TRUE,TRUE,TRUE,NA
"sample_093","../../data_raw/samples/transformed/sample_093.RDS",0.822025990894796,0.454295069370978,0.357496322745724,TRUE,TRUE,TRUE,NA
"sample_094","../../data_raw/samples/transformed/sample_094.RDS",0.837822144372515,0.344418086320167,0.342312948771292,TRUE,TRUE,TRUE,NA
"sample_095","../../data_raw/samples/transformed/sample_095.RDS",0.778926158997822,0.18610357961614,0.269497618406979,TRUE,TRUE,TRUE,NA
"sample_096","../../data_raw/samples/transformed/sample_096.RDS",0.771971037930956,0.235403206009876,0.310806025061327,TRUE,TRUE,TRUE,NA
"sample_097","../../data_raw/samples/transformed/sample_097.RDS",0.734073211440916,0.31937604932717,0.318754385264826,TRUE,TRUE,TRUE,NA
"sample_098","../../data_raw/samples/transformed/sample_098.RDS",0.815490407715585,0.419130768615041,0.327113365308412,TRUE,TRUE,TRUE,NA
"sample_099","../../data_raw/samples/transformed/sample_099.RDS",0.860673886258293,0.483982508225129,0.377308767660284,TRUE,TRUE,TRUE,NA
"sample_100","../../data_raw/samples/transformed/sample_100.RDS",0.846425361949875,0.340606869208388,0.319624171112695,TRUE,TRUE,TRUE,NA
"sample_101","../../data_raw/samples/transformed/sample_101.RDS",0.866949775114867,0.467528745194977,0.328081523444007,TRUE,TRUE,TRUE,NA
"sample_102","../../data_raw/samples/transformed/sample_102.RDS",0.843967766229797,0.389389188479713,0.348930210751589,TRUE,TRUE,TRUE,NA
"sample_103","../../data_raw/samples/transformed/sample_103.RDS",0.866681281896862,0.504997261731277,0.376947271784085,TRUE,TRUE,TRUE,NA
"sample_104","../../data_raw/samples/transformed/sample_104.RDS",0.878891325523265,0.423820912367568,0.377917397724295,TRUE,TRUE,TRUE,NA
"sample_105","../../data_raw/samples/transformed/sample_105.RDS",0.824493484326797,0.317288279613377,0.339287884646203,TRUE,TRUE,TRUE,NA
"sample_106","../../data_raw/samples/transformed/sample_106.RDS",0.869983578451376,0.408393915958929,0.279931422795929,TRUE,TRUE,TRUE,NA
"sample_107","../../data_raw/samples/transformed/sample_107.RDS",0.889592018239163,0.467511162256303,0.373833033868933,TRUE,TRUE,TRUE,NA
"sample_108","../../data_raw/samples/transformed/sample_108.RDS",0.821531049594108,0.355371277497525,0.341213154574198,TRUE,TRUE,TRUE,NA
"sample_109","../../data_raw/samples/transformed/sample_109.RDS",0.858012634322574,0.410844062335957,0.330509827794196,TRUE,TRUE,TRUE,NA
"sample_110","../../data_raw/samples/transformed/sample_110.RDS",0.825509875554335,0.614531204026738,0.377790038079347,TRUE,TRUE,TRUE,NA
"sample_111","../../data_raw/samples/transformed/sample_111.RDS",0.744253272645233,0.199275899541462,0.296665623029882,TRUE,TRUE,TRUE,NA
"sample_112","../../data_raw/samples/transformed/sample_112.RDS",0.828255122141461,0.375092022347988,0.351673531291684,TRUE,TRUE,TRUE,NA
"sample_113","../../data_raw/samples/transformed/sample_113.RDS",0.762490299027167,0.46125005567773,0.323145442664177,TRUE,TRUE,TRUE,NA
"sample_114","../../data_raw/samples/transformed/sample_114.RDS",0.847502235438224,0.572960040781625,0.350741873504026,TRUE,TRUE,TRUE,NA
"sample_115","../../data_raw/samples/transformed/sample_115.RDS",0.830099259608068,0.360265136818594,0.326629505709129,TRUE,TRUE,TRUE,NA
"sample_116","../../data_raw/samples/transformed/sample_116.RDS",0.848346711804225,0.319962960390232,0.296912791475885,TRUE,TRUE,TRUE,NA
"sample_117","../../data_raw/samples/transformed/sample_117.RDS",0.827068721030488,0.522446287920935,0.34345358828384,TRUE,TRUE,TRUE,NA
"sample_118","../../data_raw/samples/transformed/sample_118.RDS",0.840407327981041,0.480395989961864,0.302380975744869,TRUE,TRUE,TRUE,NA
"sample_119","../../data_raw/samples/transformed/sample_119.RDS",0.795549943929631,0.434905186769206,0.28748106753659,TRUE,TRUE,TRUE,NA
"sample_120","../../data_raw/samples/transformed/sample_120.RDS",0.831959210314678,0.369839153565496,0.335539435509786,TRUE,TRUE,TRUE,NA
