"sample_id","file","fh_null_mean_mse","fh_full_mean_mse","bhf_mean_mse","fh_null_ok","fh_full_ok","bhf_ok","bhf_dropped_predictors","error_msg"
"sample_102","../../data_raw/samples/transformed-2/sample_102.RDS",0.843186678852463,0.393901612620589,0.330163432760063,TRUE,TRUE,TRUE,"",NA
"sample_103","../../data_raw/samples/transformed-2/sample_103.RDS",0.865863465609575,0.470430321824288,0.355913759659985,TRUE,TRUE,TRUE,"",NA
"sample_104","../../data_raw/samples/transformed-2/sample_104.RDS",0.878037133018082,0.353562436869623,0.349825843058918,TRUE,TRUE,TRUE,"",NA
"sample_105","../../data_raw/samples/transformed-2/sample_105.RDS",0.823747797863441,0.27842951420395,0.320745695443076,TRUE,TRUE,TRUE,"",NA
"sample_106","../../data_raw/samples/transformed-2/sample_106.RDS",0.869242514247193,0.366330056991669,0.269867877981702,TRUE,TRUE,TRUE,"",NA
"sample_107","../../data_raw/samples/transformed-2/sample_107.RDS",0.888700209488337,0.435943420566026,0.351036692219439,TRUE,TRUE,TRUE,"",NA
"sample_108","../../data_raw/samples/transformed-2/sample_108.RDS",0.82074441529178,0.368785772698135,0.323789658271477,TRUE,TRUE,TRUE,"",NA
"sample_109","../../data_raw/samples/transformed-2/sample_109.RDS",0.857216056819693,0.431416707470153,0.311924175007598,TRUE,TRUE,TRUE,"",NA
"sample_110","../../data_raw/samples/transformed-2/sample_110.RDS",0.82476307909679,0.583240509728403,0.364293306153888,TRUE,TRUE,TRUE,"",NA
"sample_111","../../data_raw/samples/transformed-2/sample_111.RDS",0.743720755298337,0.16971098375175,0.267002107523249,TRUE,TRUE,TRUE,"",NA
"sample_112","../../data_raw/samples/transformed-2/sample_112.RDS",0.827527931773481,0.363736159550374,0.292690778955301,TRUE,TRUE,TRUE,"",NA
"sample_113","../../data_raw/samples/transformed-2/sample_113.RDS",0.761942615797958,0.450290406708671,0.298094566678715,TRUE,TRUE,TRUE,"",NA
"sample_114","../../data_raw/samples/transformed-2/sample_114.RDS",0.846688892629743,0.537941617953044,0.326452102807923,TRUE,TRUE,TRUE,"",NA
"sample_115","../../data_raw/samples/transformed-2/sample_115.RDS",0.829358040237573,0.38006903809377,0.308838928616254,TRUE,TRUE,TRUE,"",NA
"sample_116","../../data_raw/samples/transformed-2/sample_116.RDS",0.847669702355763,0.314811584211038,0.273660036514096,TRUE,TRUE,TRUE,"",NA
